store_id,store_name,postal_code,cookie
02861c73-15ee-4b79-98e3-0de02c247152,IGA Place Dupuis,H2L2E4,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiIwMjg2MWM3My0xNWVlLTRiNzktOThlMy0wZGUwMmMyNDcxNTIiLCJTdG9yZU51bWJlciI6IjE2MjQ5IiwiU2NvcGVJZCI6IjE2MjQ5IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41NTg0NSwiTGF0aXR1ZGUiOjQ1LjUxNjA5NiwiQXJlVmFsaWQiOnRydWV9LCJDbGllbnROdW1iZXIiOiI4MjE5IiwiUG9zdGFsQ29kZSI6IkgyTDJFNCIsIlByZWNpc2lvbiI6MiwiSXNTZXJ2ZWRCeVZvaWxhIjp0cnVlfQ==
de59e331-2daa-4468-a0b4-a1b79ba4f655,IGA Lipari Côte-St-Luc,H4V1J2,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiJkZTU5ZTMzMS0yZGFhLTQ0NjgtYTBiNC1hMWI3OWJhNGY2NTUiLCJTdG9yZU51bWJlciI6IjEwNjAwIiwiU2NvcGVJZCI6IjEwNjAwIiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My42NTM4ODUsIkxhdGl0dWRlIjo0NS40NjU0NzEsIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiMDEwOCIsIlBvc3RhbENvZGUiOiJINFYxSjIiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
b9d42940-c856-4c7d-a3b5-0055de1c557c,Marché Emily et Philip Desmarais,J4P2H7,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiJiOWQ0Mjk0MC1jODU2LTRjN2QtYTNiNS0wMDU1ZGUxYzU1N2MiLCJTdG9yZU51bWJlciI6IjEwNzM1IiwiU2NvcGVJZCI6IjEwNzM1IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41MTQzODEsIkxhdGl0dWRlIjo0NS41MDI0OTMsIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiODIxMCIsIlBvc3RhbENvZGUiOiJKNFAySDciLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
f8334299-b33d-4687-9d70-6e1a526879a8,Marché d'alimentation Beck inc.,H8P1B4,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiJmODMzNDI5OS1iMzNkLTQ2ODctOWQ3MC02ZTFhNTI2ODc5YTgiLCJTdG9yZU51bWJlciI6IjEyNTgzIiwiU2NvcGVJZCI6IjEyNTgzIiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My42MTIzNzksIkxhdGl0dWRlIjo0NS40MjY3NDksIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiMDI5MyIsIlBvc3RhbENvZGUiOiJIOFAxQjQiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
fbc21720-a2cc-4f58-a370-de96ff2e949a,IGA Alimentation Shnaidman PaganoCavendish,H4W2T5,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiJmYmMyMTcyMC1hMmNjLTRmNTgtYTM3MC1kZTk2ZmYyZTk0OWEiLCJTdG9yZU51bWJlciI6IjEwNjAxIiwiU2NvcGVJZCI6IjEwNjAxIiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My42NjU4NDYsIkxhdGl0dWRlIjo0NS40NzU5NjgsIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiODExMSIsIlBvc3RhbENvZGUiOiJINFcyVDUiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
bf8a1fab-5206-4156-8a3d-5f041a1a0944,Marché Emily Philippe Desmarais,J4R2L1,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiJiZjhhMWZhYi01MjA2LTQxNTYtOGEzZC01ZjA0MWExYTA5NDQiLCJTdG9yZU51bWJlciI6IjEwNzM2IiwiU2NvcGVJZCI6IjEwNzM2IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41MDI5MTgsIkxhdGl0dWRlIjo0NS40OTM0NzQsIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiODIxNCIsIlBvc3RhbENvZGUiOiJKNFIyTDEiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
216458f7-4ace-46c7-be2d-2561973f1062,Marché Barcelo,H2S1M8,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiIyMTY0NThmNy00YWNlLTQ2YzctYmUyZC0yNTYxOTczZjEwNjIiLCJTdG9yZU51bWJlciI6IjEwNTg2IiwiU2NvcGVJZCI6IjEwNTg2IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My42MDYxNTQsIkxhdGl0dWRlIjo0NS41MzgwODEsIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiMDQ1NCIsIlBvc3RhbENvZGUiOiJIMlMxTTgiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
8a9b3ec0-5a67-41dc-8639-91b98f2c83df,IGA Barcelo Molson,H1Y0C5,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiI4YTliM2VjMC01YTY3LTQxZGMtODYzOS05MWI5OGYyYzgzZGYiLCJTdG9yZU51bWJlciI6IjI0NDY0IiwiU2NvcGVJZCI6IjI0NDY0IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41NzYyLCJMYXRpdHVkZSI6NDUuNTQzNSwiQXJlVmFsaWQiOnRydWV9LCJDbGllbnROdW1iZXIiOiI4MDYwIiwiUG9zdGFsQ29kZSI6IkgxWTBDNSIsIlByZWNpc2lvbiI6MiwiSXNTZXJ2ZWRCeVZvaWxhIjp0cnVlfQ==
17848700-d1e2-4065-b9c0-40463b1b4e79,Épicerie F.Chartrand inc.,H2G1T7,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiIxNzg0ODcwMC1kMWUyLTQwNjUtYjljMC00MDQ2M2IxYjRlNzkiLCJTdG9yZU51bWJlciI6IjEwNTc4IiwiU2NvcGVJZCI6IjEwNTc4IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41ODczNiwiTGF0aXR1ZGUiOjQ1LjU0NDk5NiwiQXJlVmFsaWQiOnRydWV9LCJDbGllbnROdW1iZXIiOiIwMTUxIiwiUG9zdGFsQ29kZSI6IkgyRzFUNyIsIlByZWNpc2lvbiI6MiwiSXNTZXJ2ZWRCeVZvaWxhIjp0cnVlfQ==
6d32e96e-939d-4993-ba5d-dc5b0a9e119b,IGA Famille Déziel Jarry,H2P1W9,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiI2ZDMyZTk2ZS05MzlkLTQ5OTMtYmE1ZC1kYzViMGE5ZTExOWIiLCJTdG9yZU51bWJlciI6IjEzOTg0IiwiU2NvcGVJZCI6IjEzOTg0IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My42MjM2ODEsIkxhdGl0dWRlIjo0NS41NDg3ODUsIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiMDU2OSIsIlBvc3RhbENvZGUiOiJIMlAxVzkiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
